Google Cloud 開発型学習計画（再編版）,,,,,,,,,
現在の実装を作り直さず、動作済み機能を『理解・再現・障害実験・運用』へ引き上げる計画。各Phaseで記録を70%以上完成し、比較表・ADR・ポートフォリオ文章はPhase 11で最終化する。,,,,,,,,,
,,,,,,,,,
Phase,テーマ,現在地,学習ゴール,主な実装・実験,完了条件,目安,Phase内記録,最終整理へ回す内容,状態
Phase 1,ローカル基盤・Docker・Pub/Sub依存分離,Dockerfile、Compose、FastAPI、PostgreSQLは実装済み。Compose内APIからPub/Subへ認証できない,コンテナ、ネットワーク、Volume、環境変数、healthcheck、ADCとPub/Sub Emulatorの違いを理解,Pub/Sub EmulatorをComposeへ追加、またはローカル用Publisher切替を実装。API→DB→Pub/Sub→WorkerをGCPなしで確認,docker compose up --buildだけでhealth、ticket作成、非同期処理、再起動後DB保持を再現。pytest/ruff成功,2～3日,構成図、実行コマンド、テスト結果、失敗原因を70%以上記録,DockerとCloud Runの差、最終構成図の清書,進行中
Phase 2,Cloud Run運用基礎・現行構成の理解,API/WorkerはReady。source deploy、Cloud SQL接続、Secret、SA設定済み,Service、Revision、Instance、Container、環境変数、Secret、Concurrency、Scaling、Ingressを説明できる,現行サービスをdescribe。設定変更でRevision生成を確認。no-traffic deploy、traffic切替、rollbackを安全な検証Revisionで試す,現行構成をgcloudの出力から説明でき、Revision/traffic/rollbackを再現。公開APIと非公開Workerの違いを説明,2～3日,現行設定一覧、Revision実験、主要用語、判断理由を記録,Compute Engine/GKEとの最終比較文章,中核実装済・学習整理待ち
Phase 3,IAM最小権限・Cloud Storage添付,用途別SAは存在。Cloud Storage機能は未実装,Principal、Role、Permission、Resource-level IAM、署名URL、最小権限を理解,Ticket添付をCloud Storageへ保存。API用SAに必要権限のみ付与。権限削除で403を発生させ復旧,添付登録/取得が成功し、不要Roleなし。403実験と監査ログを確認。Secretや認証情報をGitへ置かない,3～4日,IAM変更前後、403原因、必要Permission、APIテストを記録,IAM設計表とセキュリティ説明の清書,未着手
Phase 4,Cloud SQL・DB運用品質,PostgreSQL 17、SQLAlchemy、ticketsテーブルは稼働。create_all使用。バックアップ無効,Managed DB、接続、Pool、Transaction、Migration、Backup/Restore、HA、RPO/RTOを理解,Alembic導入。schema変更をmigrationで実施。自動backup/PITR検討。復元リハーサル。Publish失敗時のDB整合性を見直す,migration up/down、backup確認、復元手順、接続障害テストが成功。データ消失条件を説明,4～5日,ER図、migration履歴、backup/restore結果、障害時挙動を記録,RPO/RTOと本番DB設計の最終文章,一部実装済
Phase 5,VPC・Private Networking,Cloud SQLはPublic IP。Cloud Run ingressはall,VPC、Subnet、CIDR、Route、Firewall、Ingress/Egress、Private IP、Direct VPC egressを理解,VPC/Subnet設計。Cloud SQL Private IP化を検証。Cloud RunからPrivate経路で接続。Public経路削減と接続比較,Cloud Run→Cloud SQLがPrivate経路で成功。疎通確認と失敗原因を説明。Public IPを残す場合は理由と制限を記録,4～5日,CIDR表、通信経路、疎通コマンド、失敗/復旧を記録,Public/Private比較表の清書,未着手
Phase 6,Pub/Sub信頼性・冪等性,Topic、Schema、Push、OIDC、Retry、DLQ、Worker実装済み,at-least-once、Ack/Nack、Retry、DLQ、Ordering、Schema、冪等性、Outbox/再Publishを理解,重複配信、Worker停止、AI timeout、DLQ到達、再Publishを実験。event_id処理履歴または冪等更新を導入,重複で二重更新しない。DLQ→原因修正→再処理を再現。Publish失敗でqueued放置される問題の対策方針を決定,3～4日,メッセージ形式、配信回数、障害実験、再処理手順を記録,同期/非同期比較と採用理由の清書,中核実装済・学習整理待ち
Phase 7,Vertex AI・Secret・AI運用品質,Gemini Worker、Google Gen AI SDK、Secret Manager、専用SAは稼働,ADC、Workload Identity、Model/Location、Quota、Timeout、Retry、構造化出力、Prompt Injection、AIコストを理解,AI出力schema強化。timeout/retry/fallback、失敗status、入力制限、利用量ログを追加。WorkerだけAI権限を持つことを検証,不正出力・timeout・quota想定で安全にfailed/DLQへ移行。Secret実値なしでdeploy。モデル選定理由を説明,3～4日,AI I/O契約、失敗パターン、IAM差分、コスト観察を記録,AIをクラウド構成へ採用した理由の清書,中核実装済・学習整理待ち
Phase 8,Terraform＋gcloud CLI基礎＋Build/Artifactの仕組み,gcloud bootstrapとsource deploy経験あり。Terraform、明示的Artifact操作、cloudbuild.yamlは未実装,gcloudのconfig/auth/ADC/resource name/filter/formatと、source→Cloud Build→Artifact Registry→Cloud Runの内部関係を理解。Terraform state/plan/importを理解,専用Artifact Registry repoをCLIで作成。gcloud builds submit --tagでbuild/push。--imageでCloud Run検証。小さな既存ResourceからTerraform importしplan差分をゼロへ近づける,Consoleなしでrepo作成・build・image確認・deployを説明/再現。Terraform planを読み、意図しない破壊なし。source deployとの差を説明,5～7日,全コマンド、出力の読み方、Resource名、構成図、Terraform差分を記録,CLIチートシートとIaC採用ADRの清書,未着手
Phase 9,Cloud Build CI/CD＋Artifact Registry運用,Cloud Buildのsource deploy成功実績はあるが、trigger/自動test/deployなし,CI/CD、Build step、Substitution、Trigger、Build SA、Artifact tag/digest、Promotion、Approval、Rollbackを理解,cloudbuild.yamlでlint/test/build/push/deploy。Git連携Trigger。専用Build SAと最小権限。digest deploy、no-traffic、段階配信、rollback、image cleanup方針を試す,main更新から自動test→image→検証Revisionまで成功。失敗時はdeployされない。履歴/ログ/Artifact/Revisionをgcloudで追跡,5～7日,pipeline図、各Step、権限、成功/失敗ログ、rollback結果を記録,CI/CD設計書と運用手順の清書,一部実装済
Phase 10,Logging・Monitoring・Reliability・Cost,Cloud Loggingの参照経験あり。Metrics/Alert/SLO/予算監視は未設定,Structured Logging、Log-based Metric、Alert、SLO/SLI、Error budget、Runbook、Budgetを理解,JSON logとcorrelation ID。5xx/latency/worker failure/DLQ metric。Alert通知。意図的障害と復旧。Cloud SQL/Cloud Run/PubSubコスト確認,障害を検知し、alertからrunbookで復旧。主要4指標を可視化。月額概算と停止/削除条件を説明,4～5日,dashboard項目、alert条件、障害時系列、コスト記録を作成,incident reportと運用設計の清書,一部実装済
